Spectrum,Configuration,Term,J,Level (eV)
O I,2s2 2p4,3P,2,0.0000
O I,2s2 2p4,3P,1,0.0196
O I,2s2 2p4,1D,2,1.9670
O I,2s2 2p4,1S,0,4.1890
