"generation","family","equation","threshold_ev","delta_h_kj_mol","origin","source_system"
"1","electron_attachment","e- + CHF3 -> CHF3-","0.0",,"curated_catalog",""
"1","electron_ionization","e- + CHF3 -> e- + e- + CHF3+",,,"curated_catalog",""
